id,label
1,1
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,1
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,1
22,1
23,1
24,1
25,0
26,1
27,1
28,1
29,0
30,1
31,0
32,1
33,1
34,0
35,0
36,1
37,1
38,0
39,0
40,1
41,1
42,1
43,0
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,0
53,1
54,0
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,1
64,1
65,1
66,0
67,1
68,0
69,1
70,1
71,1
72,1
73,0
74,1
75,1
76,1
77,1
78,0
79,0
80,0
81,1
82,1
83,0
84,0
85,1
86,1
87,0
88,1
89,0
90,0
91,0
92,1
93,1
94,0
95,0
96,0
97,0
98,0
99,0
100,1
101,1
102,1
103,1
104,1
105,0
106,0
107,0
108,1
109,1
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,1
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,0
131,1
132,0
133,0
134,1
135,1
136,1
137,1
138,0
139,1
140,1
141,1
142,0
143,0
144,1
145,1
146,1
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,1
158,1
159,0
160,0
161,1
162,1
163,0
164,0
165,1
166,0
167,0
168,1
169,1
170,0
171,0
172,1
173,0
174,1
175,1
176,1
177,0
178,0
179,1
180,1
181,1
182,1
183,1
184,0
185,0
186,1
187,1
188,1
189,1
190,1
191,0
192,1
193,1
194,0
195,0
196,1
197,1
198,1
199,1
200,1
201,0
202,1
203,0
204,1
205,1
206,0
207,0
208,1
209,0
210,0
211,0
212,0
213,1
214,1
215,1
216,1
217,1
218,0
219,0
220,0
221,0
222,1
223,1
224,0
225,1
226,1
227,1
228,1
229,0
230,1
231,1
232,0
233,1
234,1
235,0
236,1
237,0
238,1
239,0
240,1
241,0
242,0
243,1
244,0
245,1
246,1
247,0
248,1
249,0
250,0
251,0
252,0
253,1
254,0
255,1
256,1
257,0
258,1
259,1
260,1
261,0
262,0
263,0
264,1
265,1
266,0
267,0
268,1
269,0
270,1
271,0
272,0
273,0
274,1
275,0
276,1
277,0
278,0
279,0
280,1
281,1
282,1
283,1
284,0
285,1
286,0
287,0
288,0
289,0
290,0
291,1
292,0
293,1
294,0
295,1
296,0
297,1
298,0
299,0
300,1
301,1
302,1
303,1
304,0
305,0
306,0
307,0
308,1
309,0
310,0
311,1
312,1
313,0
314,0
315,1
316,1
317,1
318,1
319,1
320,0
321,1
322,0
323,1
324,1
325,1
326,0
327,0
328,1
329,0
330,1
331,1
332,1
333,0
334,0
335,0
336,1
337,1
338,1
339,1
340,0
341,0
342,0
343,0
344,1
345,1
346,0
347,0
348,1
349,1
350,1
351,0
352,1
353,0
354,0
355,1
356,1
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,1
365,1
366,0
367,0
368,1
369,1
370,0
371,0
372,1
373,0
374,1
375,0
376,0
377,1
378,1
379,1
380,0
381,0
382,0
383,1
384,1
385,1
386,1
387,1
388,0
389,0
390,1
391,0
392,1
393,0
394,0
395,1
396,1
397,0
398,0
399,0
400,0
401,1
402,1
403,1
404,0
405,1
406,1
407,0
408,1
409,0
410,1
411,0
412,1
413,0
414,1
415,1
416,0
417,1
418,1
419,0
420,1
421,1
422,0
423,1
424,1
425,0
426,1
427,0
428,0
429,0
430,0
431,0
432,0
433,1
434,0
435,1
436,1
437,1
438,1
439,0
440,0
441,0
442,0
443,1
444,0
445,0
446,1
447,1
448,1
449,1
450,1
451,0
452,1
453,1
454,1
455,1
456,0
457,0
458,0
459,0
460,0
461,1
462,0
463,1
464,0
465,1
466,1
467,1
468,0
469,0
470,0
471,1
472,1
473,1
474,0
475,1
476,1
477,0
478,0
479,0
480,1
481,0
482,1
483,0
484,1
485,1
486,1
487,0
488,1
489,0
490,1
491,0
492,1
493,1
494,1
495,1
496,0
497,0
498,0
499,1
500,0
501,0
502,1
503,0
504,1
505,1
506,0
507,0
508,1
509,1
510,0
511,1
512,0
513,0
514,0
515,0
516,0
517,1
518,1
519,0
520,0
521,1
522,0
523,1
524,0
525,0
526,0
527,1
528,0
529,1
530,0
531,1
532,1
533,0
534,0
535,0
536,0
537,1
538,0
539,1
540,0
541,0
542,0
543,1
544,1
545,0
546,1
547,1
548,0
549,1
550,0
551,1
552,0
553,0
554,1
555,0
556,1
557,0
558,0
559,1
560,1
561,1
562,1
563,1
564,0
565,1
566,1
567,1
568,0
569,1
570,1
571,1
572,0
573,1
574,1
575,0
576,0
577,0
578,1
579,0
580,0
581,1
582,0
583,0
584,1
585,0
586,0
587,1
588,1
589,1
590,0
591,0
592,0
593,0
594,1
595,1
596,0
597,1
598,0
599,0
600,0
601,1
602,0
